Distance	Power
3.953946	9
4.878032	9
9.212244	9
5.180609	9
10.847795	10
11.170816	10
14.041209	10
37.781239	10
18.183243	10
20.080483	11
22.321188	11
22.905898	12
23.842251	12
30.44579	12
30.290413	12
29.603481	14
30.331302	14
31.418943	14
34.05627	15
15.018451	11
11.346638	11
3.152525	10
21.863234	12
29.599392	13
30.257702	14
36.497331	15
42.745137	15
48.097479	16
57.093012	17
66.963565	18
68.689072	19
75.709677	20
81.233752	21
84.427166	22
93.982875	23
100.884902	24
110.346568	25
120.842719	26
132.827222	27
14.36832	11
22.562432	12
23.196208	13
33.406138	14
47.316504	15
53.220844	16
56.332481	17
62.073267	18
62.31451	19
66.603744	20
72.08693	21
77.553761	21
82.558548	22
113.867092	25
133.092999	27
62.200022	18
64.309883	18
56.745458	17
50.113297	15
39.629412	15
38.255548	15
41.939628	15
46.38015	16
50.043786	16
